model_name,best_balanced_accuracy_cv,accuracy_cv,precision_cv,recall_cv,f1_cv,roc_auc_cv,balanced_accuracy_std,best_parameters
Random Forest,0.6893794515669516,0.6798778998778998,0.8507627572438856,0.6679326923076923,0.7448482509974669,0.7325498575498575,0.03205678228170089,"{""classifier__class_weight"": ""balanced"", ""classifier__max_depth"": 8, ""classifier__min_samples_leaf"": 5, ""classifier__n_estimators"": 400}"
Logistic Regression,0.6871456552706554,0.6181196581196582,0.9057414338943633,0.5252884615384616,0.6568854555785248,0.7427608618233619,0.024430395175066975,"{""classifier__C"": 0.1, ""classifier__class_weight"": ""balanced""}"
Dummy Classifier,0.5,0.7108180708180709,0.7108180708180709,1.0,0.8309621561234465,0.5,0.0,"{""classifier__strategy"": ""most_frequent""}"
