model_name,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,recall_class_0_mean,recall_class_1_mean,precision_class_1_mean,f1_macro_mean,roc_auc_mean,roc_auc_std,best_parameters
Logistic Regression,0.6942754629629629,0.027438445801489086,0.6243272283272283,0.8597720797720798,0.5287788461538462,0.9072612966213576,0.6169149351620049,0.739989603879027,0.04078906474699981,"{""classifier__C"": 0.1, ""classifier__class_weight"": ""balanced""}"
Random Forest,0.6876842948717949,0.046176772435488025,0.679018315018315,0.7082051282051283,0.6671634615384616,0.8511895359582786,0.6529134680269251,0.7315236412447951,0.04620417342666293,"{""classifier__class_weight"": ""balanced"", ""classifier__max_depth"": 8, ""classifier__min_samples_leaf"": 3, ""classifier__n_estimators"": 400}"
SVM RBF,0.6852280982905983,0.02786310041266792,0.6114920634920634,0.8596581196581197,0.510798076923077,0.9025508237961994,0.6051524142455532,0.7343274435678282,0.030810081775051408,"{""classifier__C"": 1.0, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.1}"
Gradient Boosting,0.5843847934472935,0.049440543013426874,0.7045763125763126,0.2992022792022792,0.8695673076923077,0.7541052170775534,0.5844298485752907,0.719182219756739,0.04248953434338232,"{""classifier__learning_rate"": 0.1, ""classifier__max_depth"": 2, ""classifier__min_samples_leaf"": 3, ""classifier__n_estimators"": 100}"
