,Age,HGB,RBC,HCT,MCV,MCH,MCHC,Decision_Class
Age,1.0,-0.13215777851363433,-0.2343649749771674,-0.14370669809648104,0.21092162540272064,0.1380405568477421,0.017175087295899137,0.14930713278561616
HGB,-0.13215777851363433,1.0,0.8103158394476598,0.9706280504962326,0.23359240021257696,0.20768005941384762,0.13646950743151381,-0.7799193691718628
RBC,-0.2343649749771674,0.8103158394476598,1.0,0.8694270154898135,-0.2820818207737086,-0.2826337718182348,-0.08593590388942854,-0.6746517567047601
HCT,-0.14370669809648104,0.9706280504962326,0.8694270154898135,1.0,0.1693970653933427,0.1032261101399698,0.03768973298662375,-0.7810596524144784
MCV,0.21092162540272064,0.23359240021257696,-0.2820818207737086,0.1693970653933427,1.0,0.8381916808391668,0.24945943628854986,-0.18242709920049346
MCH,0.1380405568477421,0.20768005941384762,-0.2826337718182348,0.1032261101399698,0.8381916808391668,1.0,0.3738447183064979,-0.16182766858108602
MCHC,0.017175087295899137,0.13646950743151381,-0.08593590388942854,0.03768973298662375,0.24945943628854986,0.3738447183064979,1.0,-0.07133181164809363
Decision_Class,0.14930713278561616,-0.7799193691718628,-0.6746517567047601,-0.7810596524144784,-0.18242709920049346,-0.16182766858108602,-0.07133181164809363,1.0
